time,running_avg_rt_ms
3435.5859,137.1413
3435.6705,137.1438
3435.7176,137.1462
3435.7270,137.1485
3435.7571,137.1508
3435.7766,137.1521
3435.7841,137.1531
3435.7906,137.1540
3435.8131,137.1550
3435.8270,137.1559
3435.9043,137.1572
3435.9115,137.1579
3435.9359,137.1588
3435.9844,137.1600
3435.9898,137.1611
3436.0380,137.1620
3436.0503,137.1631
3436.0737,137.1643
3436.1162,137.1660
3436.1260,137.1678
3436.1941,137.1703
3436.1983,137.1728
3436.2039,137.1745
3436.2564,137.1766
3436.2807,137.1786
3436.3628,137.1811
3436.4144,137.1841
3436.4207,137.1872
3436.4750,137.1906
3436.5062,137.1930
3436.5545,137.1957
3436.5946,137.1988
3436.7257,137.2030
3436.8104,137.2079
3436.8374,137.2118
3436.8476,137.2150
3436.8496,137.2178
3436.8866,137.2210
3436.8938,137.2239
3436.9210,137.2270
3436.9257,137.2301
3436.9792,137.2335
3437.0220,137.2370
3437.0685,137.2393
3437.0824,137.2414
3437.1089,137.2435
3437.2507,137.2468
3437.3699,137.2496
3437.3728,137.2520
3437.3760,137.2535
3437.3793,137.2549
3437.3848,137.2534
3437.3962,137.2519
3437.5309,137.2507
